Trial,Accuracy,RT
896,0,4.6875
897,0,0.125
898,1,0.1875
899,1,0.1875
900,1,1.5
901,0,0.1875
902,0,4.0625
903,1,0.125
904,0,0.1875
905,0,4.0625
906,0,4.0625
907,1,1.125
908,1,0.1875
909,0,0.1875
910,1,0.1875
911,1,1.4375
912,0,4.0625
913,0,4.4375
914,0,4.25
915,0,4.25
916,0,4.3125
917,1,0.125
918,0,0.1875
919,1,1.3125
920,0,4.3125
921,1,0.125
922,0,4.375
923,0,4.625
924,0,4.25
925,1,0.125
926,0,4.3125
927,1,1.375
928,0,0.1875
929,0,4.4375
930,0,0.0625
931,1,0.25
932,1,1.3125
933,0,0.1875
934,0,0.1875
935,1,0.1875
936,0,4.5625
937,1,1.25
938,0,4.3125
939,1,0.0625
940,1,0.25
941,1,1.3125
942,0,4.3125
943,0,0.125
944,1,0.1875
945,1,0.25
946,1,1.375
947,0,4.0625
948,1,1.625
949,1,0.1875
950,0,0.1875
951,0,4.0625
952,0,4.25
953,0,0.125
954,1,1.25
955,1,0.1875
956,0,0.25
957,1,1.3125
958,1,1.25
959,0,4.0625
960,0,0.4375
961,0,4.5625
962,0,0.125
963,0,4.0625
964,1,1.25
965,0,4.375
966,1,0.0625
967,1,0.1875
968,0,4.0625
969,0,0.9375
970,0,4.75
971,1,0.125
972,1,0.1875
973,0,0.1875
974,0,0.1875
975,0,0.1875
976,1,0.1875
977,0,4.0625
978,0,4.125
979,1,0.0625
980,0,4.5
981,0,4.4375
982,0,4.8125
983,0,0.125
984,0,4.5
985,0,0.0625
986,0,0.3125
987,1,0.1875
988,0,4.6875
989,0,4.375
990,1,0.125
991,0,4.0625
992,1,1.125
993,1,0.1875
994,0,4.0625
995,0,4.375
996,0,4.5
997,0,4.75
998,1,0.125
999,0,4.3125
1000,1,0.0625
1001,0,4.0625
1002,0,4.0625
1003,1,0.1875
1004,0,4.0625
1005,1,2.25
1006,0,0.1875
1007,0,0.1875
1008,0,4.375
1009,1,0.125
1010,0,4.375
1011,0,0.125
1012,0,0.25
1013,0,4.25
1014,0,4.1875
1015,0,4.0625
1016,1,0.0625
1017,0,4.0625
1018,0,4.5625
1019,0,0.125
1020,0,0.1875
1021,0,0.25
1022,0,0.1875
1023,0,0.1875
1024,1,0.1875
1025,0,4.75
1026,1,0.125
1027,1,1.1875
1028,1,0.1875
1029,1,1.3125
1030,0,4.6875
1031,1,1.1875
1032,1,0.1875
1033,0,0.1875
1034,0,4.0625
1035,1,1.8125
1036,0,4.0625
1037,1,1.125
1038,1,0.1875
1039,1,1.3125
1040,0,4.0625
1041,1,0.125
1042,1,1.3125
1043,0,0.1875
1044,1,1.1875
1045,1,1.3125
1046,1,1.1875
1047,1,1.3125
1048,0,0.1875
1049,0,4.0625
1050,0,0.125
1051,1,1.25
1052,0,4.0625
1053,1,1.1875
1054,1,1.25
1055,1,1.25
1056,0,4.0625
1057,1,1.1875
1058,0,4.0625
1059,0,4.0625
1060,1,1.125
1061,1,1.25
1062,1,1.25
1063,1,1.25
1064,0,4.0625
1065,1,1.1875
1066,0,4.0625
1067,0,4.0625
1068,1,1.125
1069,0,0.1875
1070,1,0.1875
1071,1,1.3125
1072,0,4.0625
1073,0,0.0625
1074,1,1.3125
1075,1,1.1875
1076,1,0.25
1077,0,4.0625
1078,0,4.0625
1079,0,4.0625
1080,1,1.125
1081,1,1.3125
1082,1,1.1875
1083,1,1.3125
1084,0,4.0625
1085,1,1.1875
1086,0,4.0625
1087,1,1.1875
1088,0,4.0625
1089,0,4.0625
1090,0,0.125
1091,0,4.0625
1092,0,4.0625
1093,0,5.0625
1094,1,0.125
1095,1,0.1875
1096,0,0.1875
1097,1,0.1875
1098,0,4.0625
1099,1,0.1875
1100,0,4.0625
1101,1,0.125
1102,1,0.1875
1103,1,0.1875
1104,1,0.1875
1105,1,0.1875
1106,1,0.3125
1107,1,1.25
1108,1,1.1875
1109,1,0.3125
1110,1,1.1875
1111,0,4.0625
1112,0,0.125
1113,0,4.0625
1114,1,0.125
1115,1,0.1875
1116,0,0.1875
1117,1,1.25
1118,0,0.1875
1119,0,4.0625
1120,0,0.125
1121,1,0.1875
1122,0,4.0625
1123,1,0.125
1124,1,0.1875
1125,0,0.1875
1126,1,0.1875
1127,1,0.25
1128,1,1.25
1129,1,0.1875
1130,0,4.0625
1131,1,1.1875
1132,0,4.0625
1133,1,0.125
1134,1,0.1875
1135,0,0.25
1136,0,4.0625
1137,1,0.125
1138,0,0.1875
1139,0,0.1875
1140,1,1.3125
1141,0,0.1875
1142,0,4.0625
1143,0,4.0625
1144,1,0.125
1145,0,4.0625
1146,1,1.1875
1147,0,0.1875
1148,1,0.25
1149,1,0.1875
1150,1,0.1875
1151,0,0.1875
1152,0,4.0625
1153,0,4.0625
1154,1,1.1875
1155,1,1.25
1156,0,0.1875
1157,0,4.0625
1158,0,4.0625
1159,1,1.1875
1160,1,0.1875
1161,0,0.25
1162,0,0.1875
1163,0,0.1875
1164,1,0.1875
1165,1,1.25
1166,1,1.25
1167,1,0.1875
1168,0,4.0625
1169,1,1.125
1170,0,4.0625
1171,0,4.0625
1172,0,4.0625
1173,1,1.125
1174,1,0.1875
1175,1,0.1875
1176,0,0.25
1177,0,0.1875
1178,1,0.25
1179,0,0.1875
1180,0,0.1875
1181,1,0.1875
1182,1,0.1875
1183,1,0.1875
1184,0,4.0625
1185,0,0.125
1186,1,0.25
1187,1,1.25
1188,0,4.0625
1189,0,4.0625
1190,0,4.375
1191,1,0.125
1192,1,0.1875
1193,1,0.1875
1194,1,1.1875
1195,0,4.0625
1196,0,4.3125
1197,0,4.3125
1198,0,4.0625
1199,1,0.4375
1200,0,0.1875
1201,0,0.25
1202,1,0.1875
1203,1,1.25
1204,1,1.3125
1205,1,1.1875
1206,0,0.1875
1207,1,0.25
1208,1,1.25
1209,0,4.375
1210,1,1.125
1211,1,1.25
1212,0,4.375
1213,1,0.125
1214,1,0.1875
1215,0,0.1875
1216,0,4.375
1217,1,1.125
1218,1,0.25
1219,1,0.1875
1220,0,4.3125
1221,1,1.1875
1222,1,0.1875
1223,1,0.1875
1224,0,4.375
1225,1,1.1875
1226,0,0.1875
1227,1,0.1875
1228,1,0.1875
1229,1,1.3125
1230,0,4.4375
1231,0,0.125
1232,0,4.0625
1233,0,4.8125
1234,1,1.125
1235,0,4.375
1236,0,4.25
1237,1,0.125
1238,0,4.5625
1239,1,0.125
1240,1,0.1875
1241,1,0.1875
1242,1,0.1875
1243,0,4.0625
1244,0,4.4375
1245,0,4.25
1246,0,4.25
1247,1,0.125
1248,0,4.3125
1249,1,0.125
1250,0,0.25
1251,1,2.25
1252,1,1.3125
1253,1,1.1875
1254,0,4.0625
1255,1,1.4375
1256,0,0.1875
1257,0,4.0625
1258,1,1.5
1259,1,1.1875
1260,1,0.1875
1261,1,0.1875
1262,0,4.0625
1263,0,4.4375
1264,1,1.1875
1265,1,1.25
1266,0,0.1875
1267,1,1.25
1268,0,4.25
1269,1,0.125
1270,1,0.1875
1271,1,1.3125
1272,1,1.1875
1273,1,1.3125
1274,1,1.1875
1275,0,4.0625
1276,0,4.5625
1277,1,0.0625
1278,1,1.25
1279,0,0.1875
1280,1,1.3125
1281,1,1.1875
1282,1,1.3125
1283,1,1.1875
1284,0,4.0625
1285,0,4.625
1286,0,4.375
1287,1,0.125
1288,1,0.1875
1289,1,0.1875
1290,1,1.3125
1291,0,0.1875
1292,1,1.1875
1293,1,1.3125
1294,1,1.1875
1295,0,4.0625
1296,1,0.125
1297,1,1.25
1298,1,1.25
1299,0,4.0625
