BufferFrom,SlotFrom,BufferTo,SlotTo,Production,Value
GOAL,SLOT2,IMAGINAL,SLOT1,FROM-GOAL-SLOT2-TO-IMAGINAL-SLOT1,-12.633899
GOAL,SLOT2,IMAGINAL,SLOT2,FROM-GOAL-SLOT2-TO-IMAGINAL-SLOT2,-12.46742
GOAL,SLOT2,IMAGINAL,SLOT3,FROM-GOAL-SLOT2-TO-IMAGINAL-SLOT3,-12.450506
GOAL,SLOT2,GOAL,SLOT1,FROM-GOAL-SLOT2-TO-GOAL-SLOT1,NA
GOAL,SLOT2,GOAL,SLOT2,FROM-GOAL-SLOT2-TO-GOAL-SLOT2,NA
GOAL,SLOT2,GOAL,SLOT3,FROM-GOAL-SLOT2-TO-GOAL-SLOT3,NA
GOAL,SLOT2,RETRIEVAL,SLOT1,FROM-GOAL-SLOT2-TO-RETRIEVAL-SLOT1,-12.555887
GOAL,SLOT2,RETRIEVAL,SLOT2,FROM-GOAL-SLOT2-TO-RETRIEVAL-SLOT2,-12.476948
GOAL,SLOT2,RETRIEVAL,SLOT3,FROM-GOAL-SLOT2-TO-RETRIEVAL-SLOT3,-12.572057
GOAL,SLOT2,MANUAL,SLOT1,FROM-GOAL-SLOT2-TO-MANUAL-SLOT1,-0.16847844
GOAL,SLOT2,MANUAL,SLOT2,FROM-GOAL-SLOT2-TO-MANUAL-SLOT2,-0.032734714
GOAL,SLOT2,MANUAL,SLOT3,FROM-GOAL-SLOT2-TO-MANUAL-SLOT3,1.1915959
GOAL,SLOT3,VISUAL,SLOT1,FROM-GOAL-SLOT3-TO-VISUAL-SLOT1,NA
GOAL,SLOT3,VISUAL,SLOT2,FROM-GOAL-SLOT3-TO-VISUAL-SLOT2,NA
GOAL,SLOT3,VISUAL,SLOT3,FROM-GOAL-SLOT3-TO-VISUAL-SLOT3,NA
GOAL,SLOT3,IMAGINAL,SLOT1,FROM-GOAL-SLOT3-TO-IMAGINAL-SLOT1,-12.233597
GOAL,SLOT3,IMAGINAL,SLOT2,FROM-GOAL-SLOT3-TO-IMAGINAL-SLOT2,-12.578051
GOAL,SLOT3,IMAGINAL,SLOT3,FROM-GOAL-SLOT3-TO-IMAGINAL-SLOT3,-12.681541
GOAL,SLOT3,GOAL,SLOT1,FROM-GOAL-SLOT3-TO-GOAL-SLOT1,NA
GOAL,SLOT3,GOAL,SLOT2,FROM-GOAL-SLOT3-TO-GOAL-SLOT2,NA
GOAL,SLOT3,GOAL,SLOT3,FROM-GOAL-SLOT3-TO-GOAL-SLOT3,NA
GOAL,SLOT3,RETRIEVAL,SLOT1,FROM-GOAL-SLOT3-TO-RETRIEVAL-SLOT1,-12.455396
GOAL,SLOT3,RETRIEVAL,SLOT2,FROM-GOAL-SLOT3-TO-RETRIEVAL-SLOT2,-12.403006
GOAL,SLOT3,RETRIEVAL,SLOT3,FROM-GOAL-SLOT3-TO-RETRIEVAL-SLOT3,-12.380916
